years,abbreviation,yards,margin_of_victory,offensive_simple_rating_system,pass_attempts,pass_completions,pass_first_downs,pass_net_yards_per_attempt,pass_touchdowns,pass_yards,percent_drives_with_turnovers,percent_drives_with_points,plays,points_contributed_by_offense,rank,rush_attempts,rush_first_downs,rush_yards,rush_yards_per_attempt,turnovers,win_percentage,yards_per_play,first_downs
2004,GNB,6357,2.8,4.3,598,382,228,7.3,36,4449,15.4,37.9,1053,10.72,5,441,98,1908,4.3,29,0.625,6.0,354
2004,MIN,6339,0.6,3.0,552,380,225,7.6,39,4516,12.0,38.9,985,65.96,6,387,98,1823,4.7,21,0.5,6.4,351
2004,BUF,4691,6.9,4.6,461,262,149,5.6,21,2817,14.4,32.1,982,-194.58,7,483,102,1874,3.9,29,0.563,4.8,271
2004,PHI,5618,7.9,2.0,547,336,188,6.8,32,3979,10.9,35.9,960,-11.51,8,376,87,1639,4.4,22,0.813,5.9,301
2004,DEN,6332,4.8,1.6,521,303,184,7.5,27,3999,14.7,36.1,1070,-58.67,9,534,127,2333,4.4,29,0.625,5.9,351
2004,CIN,5140,0.1,4.3,536,324,172,5.8,23,3301,15.8,31.7,1004,-143.68,10,437,93,1839,4.2,32,0.5,5.1,286
2004,PIT,5184,7.6,3.4,358,228,147,6.9,20,2720,11.7,35.8,1012,-95.61,11,618,134,2464,4.0,21,0.938,5.1,309
2004,SEA,5634,-0.1,0.4,532,304,189,6.3,23,3539,14.0,32.6,1034,-65.26,12,468,110,2095,4.5,27,0.563,5.4,320
2004,CAR,5225,1.0,-0.8,536,311,192,6.4,29,3643,12.6,32.4,991,-80.29,13,422,85,1582,3.7,26,0.438,5.3,308
2004,NOR,5193,-3.6,-1.2,542,309,177,6.2,21,3587,13.0,30.1,989,-174.82,14,406,82,1606,4.0,26,0.5,5.3,291
2004,OTI,5487,-5.9,0.3,589,356,200,5.7,27,3616,15.0,29.0,1053,-108.2,15,420,85,1871,4.5,31,0.313,5.2,308
2004,ATL,5084,0.2,-1.8,395,217,120,5.4,15,2412,15.8,28.8,969,-108.92,16,524,133,2672,5.1,30,0.688,5.2,284
2004,NYJ,5438,4.5,0.5,438,282,163,6.5,19,3050,8.6,33.3,996,-51.69,17,527,135,2388,4.5,16,0.625,5.5,313
2004,RAI,5153,-7.6,-0.6,582,330,176,6.3,24,3858,17.4,32.1,939,-132.26,18,327,75,1295,4.0,35,0.313,5.5,275
2004,RAM,5877,-4.6,-2.2,580,372,203,6.8,23,4253,20.6,30.3,1011,-93.92,19,381,96,1624,4.3,39,0.5,5.8,321
2004,RAV,4375,3.1,-0.6,465,258,135,4.6,13,2312,10.9,27.6,991,-199.99,20,491,103,2063,4.2,23,0.563,4.4,260
2004,HTX,5128,-1.9,-2.4,471,286,174,6.2,16,3246,13.6,27.7,1001,-97.09,21,481,103,1882,3.9,25,0.438,5.1,300
2004,NYG,4722,-2.8,-2.3,475,269,143,5.3,12,2818,12.1,28.6,951,-211.66,22,424,105,1904,4.5,24,0.375,5.0,281
2004,TAM,4963,-0.2,-4.0,512,340,175,6.2,24,3474,18.6,24.7,949,-201.99,23,393,74,1489,3.8,36,0.313,5.2,271
2004,DET,4693,-3.4,-3.8,505,285,142,5.4,19,2916,10.1,26.6,949,-132.39,24,407,92,1777,4.4,20,0.375,4.9,263
2004,DAL,5197,-7.0,-3.0,519,308,171,6.2,19,3428,19.3,28.3,1004,-152.34,25,449,101,1769,3.9,37,0.375,5.2,296
2004,CRD,4550,-2.4,-5.1,533,299,152,5.0,14,2882,13.5,25.5,1047,-202.74,26,475,86,1668,3.5,29,0.375,4.3,280
2004,CLE,4481,-7.1,-1.5,439,251,125,5.9,21,2824,18.2,25.8,921,-244.59,27,441,94,1657,3.8,40,0.25,4.9,245
2004,MIA,4404,-4.9,-2.7,586,309,165,4.8,19,3065,18.6,22.9,1022,-258.56,28,384,71,1339,3.5,42,0.25,4.3,267
2004,JAX,5009,-1.2,-5.7,513,305,161,5.8,17,3159,11.8,28.1,991,-135.64,29,446,88,1850,4.1,22,0.563,5.1,279
2004,SFO,4585,-12.1,-5.1,561,325,172,5.1,16,3136,20.0,22.0,1026,-234.6,30,413,83,1449,3.5,40,0.125,4.5,280
2004,WAS,4397,-1.6,-7.4,514,288,156,4.8,18,2632,13.1,21.7,1023,-213.72,31,471,91,1765,3.7,27,0.375,4.3,269
2004,CHI,3816,-6.3,-8.5,471,249,121,4.1,9,2192,16.4,16.4,967,-332.82,32,430,84,1624,3.8,37,0.313,3.9,230
2005,SEA,5915,11.3,5.8,474,307,192,6.9,25,3458,8.1,38.9,1020,48.65,1,519,142,2457,4.7,17,0.813,5.8,361
2005,CLT,5799,12.0,5.6,515,347,217,7.7,31,4096,9.1,43.6,1000,77.86,2,465,116,1703,3.7,19,0.875,5.8,363
2005,NYG,5787,6.8,5.8,558,294,172,6.1,24,3578,11.4,37.8,1055,-92.84,3,469,106,2209,4.7,25,0.688,5.5,312
2005,CIN,5730,4.4,6.5,538,362,203,6.8,32,3820,11.2,41.9,1018,-62.24,4,459,109,1910,4.2,20,0.688,5.6,342
2005,SDG,5567,6.6,7.1,526,338,191,6.3,27,3495,13.5,39.3,1022,-38.32,5,465,116,2072,4.5,28,0.563,5.4,337
2005,KAN,6192,4.9,5.1,507,317,182,7.1,17,3810,11.5,38.3,1059,-15.0,6,520,138,2382,4.6,23,0.625,5.8,347
2005,DEN,5766,8.6,5.0,465,279,162,6.6,18,3227,8.1,36.0,1030,-52.48,7,542,145,2539,4.7,16,0.813,5.6,330
2005,CAR,4950,8.3,3.0,449,269,157,6.9,25,3271,12.6,35.8,964,-104.34,8,487,82,1679,3.4,26,0.688,5.1,278
2005,PIT,5149,8.2,3.8,379,228,144,7.1,21,2926,10.9,36.1,960,-59.51,9,549,120,2223,4.0,23,0.688,5.4,297
2005,NWE,5632,2.6,3.7,564,352,204,7.0,28,4120,13.0,34.8,1031,-89.97,10,439,101,1512,3.4,24,0.625,5.5,334
2005,RAM,5571,-4.1,1.3,599,392,209,6.3,23,4036,18.5,32.3,1025,-103.69,11,380,82,1535,4.0,37,0.375,5.4,314
2005,JAX,5149,5.8,1.1,487,283,170,6.1,21,3190,8.3,32.1,1021,-117.95,12,502,97,1959,3.9,17,0.75,5.0,301
2005,WAS,5289,4.1,2.6,481,278,166,6.1,25,3106,13.0,29.7,1037,-118.86,13,525,114,2183,4.2,27,0.625,5.1,301
2005,ATL,5225,0.6,1.1,451,247,149,5.5,19,2679,13.2,31.6,1021,-80.52,14,531,139,2546,4.8,29,0.5,5.1,313
2005,DAL,5202,1.1,-0.1,500,300,177,6.1,23,3341,15.5,28.9,1071,-158.41,15,521,97,1861,3.6,31,0.563,4.9,318
2005,MIA,5198,0.1,-1.1,556,291,159,5.7,22,3300,14.4,28.7,1026,-163.29,16,444,93,1898,4.3,30,0.563,5.1,274
2005,CRD,5575,-4.8,-2.0,670,419,224,6.2,21,4437,18.0,34.0,1075,-175.55,17,360,58,1138,3.2,37,0.313,5.2,304
2005,PHI,5109,-4.9,-0.7,620,337,182,5.6,21,3677,14.7,24.8,1027,-175.2,18,365,73,1432,3.9,34,0.375,5.0,282
2005,MIN,4613,-2.4,-1.4,510,323,169,5.6,18,3146,14.2,27.9,945,-177.98,19,381,83,1467,3.9,30,0.563,4.9,285
2005,TAM,4716,1.6,-2.8,487,303,161,5.5,17,2890,11.6,27.4,985,-198.56,20,457,83,1826,4.0,23,0.688,4.8,268
2005,OTI,5122,-7.6,-2.0,594,358,191,5.8,20,3597,13.5,26.4,1022,-242.78,21,397,72,1525,3.8,26,0.25,5.0,279
2005,GNB,5118,-2.9,-1.5,626,383,206,5.8,20,3766,22.2,27.0,1051,-157.53,22,398,76,1352,3.4,45,0.25,4.9,318
2005,RAI,4951,-5.8,-1.2,591,316,189,5.6,21,3582,11.5,28.4,997,-147.25,23,361,80,1369,3.8,23,0.25,5.0,294
2005,BUF,4122,-6.0,-4.0,459,269,129,5.0,18,2515,14.1,29.9,930,-230.91,24,428,96,1607,3.8,26,0.313,4.4,259
2005,RAV,4693,-2.1,-3.5,562,335,163,5.1,17,3088,18.3,27.2,1056,-237.85,25,452,97,1605,3.6,36,0.375,4.4,286
2005,HTX,4053,-10.7,-4.4,449,270,142,4.3,15,2237,12.7,28.9,954,-206.24,26,437,89,1816,4.2,24,0.125,4.2,243
2005,CHI,4101,3.6,-5.2,418,219,111,4.5,11,2002,12.8,22.6,937,-257.69,27,488,99,2099,4.3,28,0.688,4.4,233
2005,DET,4319,-5.7,-4.3,520,297,151,5.2,15,2848,15.6,24.6,955,-187.33,28,404,69,1471,3.6,30,0.313,4.5,258
2005,NYJ,3970,-7.2,-5.2,470,268,146,5.1,11,2642,16.7,25.6,907,-185.24,29,384,74,1328,3.5,34,0.25,4.4,251
2005,SFO,3587,-11.8,-5.6,389,204,96,4.3,8,1898,16.3,21.9,865,-278.06,30,428,70,1689,3.9,35,0.25,4.1,191
2005,NOR,5031,-10.2,-6.2,553,308,182,5.6,15,3343,20.3,26.4,1017,-199.14,31,423,89,1688,4.0,43,0.188,4.9,312
2005,CLE,4550,-4.3,-6.0,497,297,149,5.6,15,3047,16.9,25.8,938,-234.39,32,395,76,1503,3.8,30,0.375,4.9,241
2006,SDG,5840,11.8,10.0,466,287,169,6.6,24,3262,6.8,43.2,1016,-0.85,1,522,137,2578,4.9,15,0.875,5.7,321
2006,CHI,5199,10.8,4.9,514,282,161,6.1,24,3281,15.9,34.8,1042,-133.82,2,503,103,1918,3.8,36,0.813,5.0,300
2006,CLT,6070,4.2,6.9,557,362,241,7.5,31,4308,10.9,47.4,1011,26.73,3,439,112,1762,4.0,19,0.75,6.0,376
2006,DAL,5772,4.7,5.0,506,310,197,7.1,26,3836,15.3,38.1,1015,-35.15,4,472,107,1936,4.1,30,0.563,5.7,336
2006,NOR,6264,5.7,4.9,580,372,207,7.5,27,4503,12.1,36.8,1075,-100.41,5,472,99,1761,3.7,23,0.625,5.8,330
2006,PHI,6103,4.4,3.2,544,323,189,7.2,31,4119,11.5,33.9,988,-32.03,6,416,106,1984,4.8,24,0.625,6.2,312
2006,NWE,5369,9.3,4.3,527,326,181,6.1,25,3400,13.8,34.4,1055,-76.38,7,499,121,1969,3.9,27,0.75,5.1,330
2006,CIN,5462,2.6,4.0,523,327,200,6.9,28,3833,12.2,35.6,994,-89.47,8,435,88,1629,3.7,24,0.5,5.5,313
2006,JAX,5423,6.1,2.6,446,266,147,6.1,17,2882,11.2,35.1,989,-80.6,9,513,127,2541,5.0,23,0.5,5.5,293
2006,RAM,5767,-0.9,0.8,592,371,212,6.2,24,3962,8.7,37.7,1065,-53.93,10,424,94,1805,4.3,18,0.5,5.4,332
2006,NYG,5214,-0.4,1.2,523,301,163,5.6,24,3058,13.7,32.6,1003,-108.77,11,455,120,2156,4.7,28,0.5,5.2,304
2006,RAV,5072,9.5,1.5,524,328,179,6.3,21,3435,11.5,31.3,1017,-170.15,12,476,86,1637,3.4,23,0.813,5.0,282
2006,PIT,5725,2.4,3.0,523,312,201,6.5,23,3733,18.1,31.4,1041,-76.32,13,469,100,1992,4.2,37,0.5,5.5,327
2006,SEA,4977,-0.4,-1.7,512,292,167,5.4,26,3054,17.3,29.9,1045,-202.3,14,484,112,1923,4.0,34,0.563,4.8,312
2006,KAN,5143,1.0,0.4,450,272,184,6.1,18,3000,12.6,32.4,1004,-88.56,15,513,105,2143,4.2,26,0.563,5.1,310
2006,OTI,4810,-4.8,1.0,447,226,133,5.5,13,2596,13.9,26.7,945,-168.4,16,469,105,2214,4.7,26,0.5,5.1,261
2006,DEN,4951,0.9,-0.8,454,256,151,5.8,20,2799,14.6,30.7,973,-139.19,17,488,106,2152,4.4,30,0.563,5.1,285
2006,NYJ,4891,1.3,0.4,488,313,161,6.0,17,3153,13.6,31.8,1013,-133.92,18,491,99,1738,3.5,25,0.625,4.8,289
2006,CRD,5000,-4.7,-2.6,545,322,187,6.3,17,3662,15.3,32.2,999,-95.61,19,419,84,1338,3.2,30,0.313,5.0,298
2006,WAS,5243,-4.3,-2.1,470,274,150,6.2,19,3027,9.5,30.2,979,-66.51,20,490,123,2216,4.5,17,0.313,5.4,295
2006,DET,4949,-5.8,-1.8,596,372,208,5.8,21,3820,21.1,31.9,963,-187.39,21,304,53,1129,3.7,39,0.188,5.1,290
2006,GNB,5458,-4.1,-2.3,630,350,185,5.8,18,3795,16.1,26.6,1085,-185.35,22,431,93,1663,3.9,33,0.5,5.0,301
2006,BUF,4271,-0.7,-0.2,431,268,132,5.7,19,2719,15.1,27.4,898,-160.68,23,420,82,1552,3.7,29,0.438,4.8,234
2006,SFO,4857,-7.1,-3.5,444,257,132,5.6,16,2685,15.3,30.2,918,-179.97,24,438,97,2172,5.0,32,0.438,5.3,243
2006,ATL,5310,-2.3,-2.8,416,222,133,5.1,21,2371,10.9,28.8,1000,-100.14,25,537,134,2939,5.5,20,0.438,5.3,287
2006,MIN,4943,-2.8,-3.7,540,332,160,5.4,13,3123,15.7,23.9,1025,-203.52,26,442,87,1820,4.1,32,0.375,4.8,272
2006,CAR,4923,-2.2,-4.2,539,325,158,5.7,19,3264,12.7,25.4,994,-128.23,27,423,100,1659,3.9,27,0.5,5.0,278
2006,HTX,4463,-6.2,-3.2,481,329,156,5.3,14,2778,13.6,27.2,955,-127.87,28,431,106,1685,3.9,25,0.375,4.7,282
2006,MIA,4960,-1.4,-3.3,591,342,180,5.2,16,3287,12.6,25.8,1034,-183.26,29,402,82,1673,4.2,25,0.375,4.8,281
2006,CLE,4233,-7.4,-4.5,512,318,153,5.1,15,2898,21.3,22.9,938,-306.41,30,372,72,1335,3.6,42,0.25,4.5,250
2006,TAM,4321,-8.9,-7.2,535,296,133,4.9,14,2798,16.3,19.5,972,-287.73,31,404,82,1523,3.8,32,0.25,4.4,237
2006,RAI,3939,-10.3,-10.3,483,263,144,4.4,7,2420,25.0,16.7,949,-358.27,32,394,73,1519,3.9,46,0.125,4.2,243
2007,NWE,6580,19.7,15.9,586,403,243,7.8,50,4731,7.8,52.7,1058,133.73,1,451,124,1849,4.1,15,1.0,6.2,393
2007,DAL,5851,8.1,7.8,531,342,217,7.4,36,4105,12.6,41.8,975,19.43,2,419,83,1746,4.2,24,0.813,6.0,322
2007,CLT,5739,11.8,6.6,551,355,212,7.0,32,4033,11.4,44.6,1020,52.46,3,446,119,1706,3.8,19,0.813,5.6,357
2007,GNB,5931,9.0,5.7,578,383,210,7.3,30,4334,12.1,38.9,985,-41.4,4,388,69,1597,4.1,24,0.813,6.0,307
2007,SDG,5044,8.0,4.3,471,281,158,6.1,22,3005,12.6,34.0,980,-114.6,5,485,104,2039,4.2,24,0.688,5.1,278
2007,JAX,5719,6.7,4.8,469,288,180,6.7,28,3328,10.1,39.6,1022,-1.73,6,522,127,2391,4.6,21,0.688,5.6,328
2007,CRD,5505,0.3,1.9,590,356,210,6.6,32,4065,18.3,32.0,1016,-176.41,7,402,70,1440,3.6,36,0.5,5.4,308
2007,CLE,5621,1.3,2.2,545,305,192,6.6,29,3726,14.6,35.4,1004,-120.58,8,440,110,1895,4.3,29,0.625,5.6,315
2007,PIT,5239,7.8,0.9,442,282,179,6.3,34,3071,11.4,37.7,1000,-18.96,9,511,108,2168,4.2,22,0.625,5.2,298
2007,SEA,5583,6.4,0.8,590,371,211,6.3,30,3964,11.4,33.2,1056,-107.06,10,430,93,1619,3.8,24,0.625,5.3,323
2007,CIN,5568,-0.3,1.6,575,373,213,6.8,26,4012,15.3,37.9,1008,-57.26,11,416,81,1556,3.7,30,0.438,5.5,320
2007,HTX,5337,-0.3,2.5,529,346,190,6.8,24,3751,20.9,35.5,968,-86.53,12,417,96,1586,3.8,38,0.5,5.5,295
2007,NOR,5780,-0.6,1.9,652,440,232,6.5,28,4314,16.1,31.7,1060,-50.3,13,392,94,1466,3.7,30,0.438,5.5,346
2007,NYG,5302,1.4,2.8,544,302,167,5.5,23,3154,17.5,32.3,1041,-163.79,14,469,119,2148,4.6,34,0.625,5.1,321
2007,MIN,5379,3.4,1.4,432,249,139,5.8,12,2745,15.3,28.4,964,-52.29,15,494,131,2634,5.3,30,0.5,5.6,294
2007,DET,5166,-6.1,1.4,587,368,203,6.0,19,3878,18.5,32.3,965,-124.39,16,324,73,1288,4.0,36,0.438,5.4,303
2007,PHI,5729,2.3,0.1,577,350,186,6.0,24,3755,13.2,34.1,1047,-37.49,17,421,118,1974,4.7,27,0.5,5.5,323
2007,WAS,5334,1.5,0.2,525,319,192,6.3,18,3463,15.0,32.1,1052,-198.87,18,498,103,1871,3.8,29,0.563,5.1,307
2007,TAM,5229,4.0,-2.3,490,316,162,6.4,18,3357,9.7,33.0,975,-156.35,19,449,98,1872,4.2,20,0.563,5.4,281
2007,CHI,4692,-0.9,-0.2,569,327,168,5.5,18,3362,15.1,27.8,1035,-194.23,20,423,74,1330,3.1,34,0.438,4.5,266
2007,DEN,5541,-5.6,-0.2,515,326,187,6.6,21,3584,14.7,32.8,976,-72.86,21,429,96,1957,4.6,29,0.438,5.7,305
